xlinkID	xlink_1	xlink_2	xlink_3
1083	19356	33455	47187
1084	68275	71758	78064
1085	1085	3314	0
1086	44420	74981	0
1087	13061	50193	63672
1088	26469	43970	51336
1089	3500	60667	65955
1090	7339	19283	31014
1091	12133	25130	70204
1092	8207	15424	49514
1093	2885	12149	49348
1094	13789	29105	29440
1095	27130	39201	61314
1096	1096	73764	0
1097	19	14463	73773
1098	6325	52611	79995
1099	6607	79780	0
1100	8058	9869	48753
1101	13280	27277	75637
1102	33660	38988	56981
1103	19771	30411	45290
1104	68384	73620	77059
1105	4025	42684	64436
1106	17163	33646	37518
1107	34576	37209	63079
1108	32290	34993	62856
1109	5989	40844	65747
1110	12883	16423	64675
1111	2863	5168	35481
1112	34159	44117	54577
1113	2263	35723	46826
1114	42260	62743	67682
1115	16368	20535	74377
1116	55254	68141	69821
1117	37143	70199	74473
1118	1118	48367	0
1119	4407	12352	80353
1120	19933	38838	70710
1121	6819	56408	59510
1122	1122	12484	0
1123	9641	20153	25588
1124	33145	67960	78325
1125	26509	46564	61389
1126	38972	39832	80542
1127	687	1193	22360
1128	39818	54689	66960
1129	73095	76872	77043
1130	33182	33784	51188
1131	7161	40963	79142
1132	29197	36605	72758
1133	27762	51472	0
1134	1134	12854	0
1135	8273	19770	35519
1136	32840	41202	48714
1137	17001	39078	80198
1138	12884	48093	74363
1139	37566	65848	78448
1140	28955	80589	0
1141	48433	72119	0
1142	3680	20882	76259
1143	15964	17720	0
1144	609	21722	0
1145	24882	39372	40438
1146	34933	67259	79504
1147	1147	4127	0
1148	5785	50141	50836
1149	8502	35880	61337
1150	15885	26045	30363
1151	14860	19503	71546
1152	7404	27549	62881
1153	39542	62062	71175
1154	33208	35625	60806
1155	264	49798	0
1156	35804	42528	61063
1157	7415	24868	52934
1158	55143	55919	71268
1159	22617	26658	56365
1160	33754	72530	75906
1161	33242	68604	70801
1162	20121	67616	68638
1163	25875	55045	67015
1164	15093	53371	0
1165	24359	47198	78934
1166	7477	13586	18105
1167	34829	43665	75700
1168	13912	30974	0
1169	40696	45987	54664
1170	7895	23400	40620
1171	38732	54593	56714
1172	69958	0	0
1173	29926	47923	51480
1174	3197	59873	59928
1175	25620	50980	71719
1176	13091	18051	78796
1177	1177	15804	0
1178	1178	38677	0
1179	31200	63165	74817
1180	14209	55257	57795
1181	351	65018	0
1182	25811	54045	73678
1183	46007	60339	60588
1184	1020	20723	26307
1185	777	7679	59235
