xlinkID	xlink_1	xlink_2	xlink_3	xlink_4
2418	1667	173	3006	13318
1252	1252	1252	5263	15787
15783	8895	87	14043	8237
8895	15783	5839	0	0
971	9736	9213	7872	5294
9736	971	2161	13492	0
6810	7214	14345	7684	2158
7214	6810	12111	701	739
6627	3906	1810	6163	1842
3906	6627	1803	130	13910
6355	10073	1742	13078	10786
10073	6355	6299	7062	5835
14768	9886	10481	10481	2486
9886	14768	3772	817	11272
12970	5818	9905	5257	11045
5818	12970	8449	6832	12612
15293	13769	597	1357	9248
13769	15293	5944	14038	463
6728	2439	9043	12489	3361
2439	6728	14184	14917	1255
6299	13654	15148	10073	15134
13654	6299	366	9823	14907
16049	7501	1876	15036	4835
7501	16049	4598	5969	11187
2847	9701	11944	6195	10712
9701	2847	10872	12112	10872
8327	11975	14660	14926	5952
11975	8327	12621	1459	8031
9883	5108	7641	1697	12655
5108	9883	809	9537	12024
12510	2106	10107	372	5881
2106	12510	10194	13020	13314
8408	4361	10313	10389	9033
4361	8408	12907	11932	10021
3475	10993	5578	8838	15749
10993	3475	10993	10993	5879
10872	9701	2103	15255	9701
11763	12556	14924	2194	2660
12556	11763	13835	1467	8223
9423	6452	6319	569	6452
6452	9423	10047	2358	9423
10902	6211	3032	2607	10440
6211	10902	12284	9557	2050
11144	13445	11066	1759	13445
13445	11144	15383	11144	8747
9709	14005	5235	3316	10066
14005	9709	3316	641	5235
10887	6643	10887	10887	11457
6643	10887	4586	1186	4962
11532	4872	11656	429	6100
4872	11532	8331	12058	0
6445	5645	9244	13355	1706
5645	6445	1230	4998	254
1324	8755	1708	14431	1748
8755	1324	3359	4873	1510
11249	12241	1507	11251	15322
12241	11249	2203	6513	5554
3782	7504	5062	8131	11572
7504	3782	11086	2121	1810
1824	7313	12038	533	6823
7313	1824	9951	13431	69
5415	2181	8751	12979	13910
2181	5415	5712	14923	0
6592	338	6592	6592	8620
338	6592	3440	2411	7708
12858	10083	14398	7547	10083
10083	12858	8985	2968	12858
15655	1674	6156	8375	12771
1674	15655	7567	3916	14591
6031	745	4043	11251	745
745	6031	2877	6031	675
9090	941	1569	11385	2872
941	9090	14205	9766	11321
8420	15961	9529	6738	7061
15961	8420	1177	14717	13336
2235	8440	3009	8599	12227
8440	2235	3881	5998	7336
14578	9215	7828	6175	4115
9215	14578	9677	9492	2963
13650	6624	9112	14401	2337
6624	13650	5793	5931	11540
9493	498	9137	1447	15986
