X Y Z
142.054780 42.666818 19.404510
131.061088 86.744711 9.734803
113.148397 84.888722 233.060506
183.463882 77.755682 220.022587
173.351455 61.615185 210.446989
212.363457 26.347349 245.097762
214.381944 19.864724 3.499662
215.818056 67.857942 0.941225
234.061943 86.051600 0.875207
171.508419 54.687192 219.377025
150.822223 63.340666 205.443069
127.045452 10.949131 241.146983
147.238862 20.324150 230.217519
201.939736 33.038372 191.448814
191.813688 40.449816 210.154459
253.060744 60.391837 254.188115
230.425008 45.821647 5.936018
192.341585 71.425692 54.264902
164.530021 63.666749 33.731563
200.593508 51.630470 48.226478
215.224597 49.277136 35.333627
227.815160 91.623578 0.568983
204.574413 52.058665 251.797111
24.689021 103.779464 255.930859
19.127226 82.331920 250.439371
245.118714 55.153051 12.461725
16.735936 37.205458 248.476764
2.994354 53.378683 236.203746
34.084510 92.643408 13.059889
20.412535 42.751985 211.543849
2.899773 57.769328 236.598536
24.542127 68.186937 247.719032
43.726740 101.268518 22.798582
49.248505 112.772850 244.311602
3.743936 83.586138 242.564937
22.693321 97.250845 240.997407
22.727214 99.075658 15.486378
36.769014 90.100378 254.322470
83.987522 81.300743 255.050761
89.467788 104.728728 17.281693
80.733076 124.942666 6.351015
83.280516 81.318636 12.431605
109.393117 68.884956 0.508012
77.162230 111.041523 254.762598
107.644489 110.708309 1.878608
90.433868 75.701863 14.014837
88.129120 53.770776 247.805799
122.173523 75.977949 4.220954
119.267631 64.364246 38.073443
129.508714 72.534113 9.505580
133.916347 100.821950 8.295014
82.000245 72.468438 7.079146
89.440132 91.904500 1.402624
110.994036 72.691329 200.507828
99.824971 77.639773 212.371955
124.764425 108.047564 217.817000
127.314990 122.970321 251.727655
109.448603 52.059272 28.828613
107.069055 34.771016 5.125526
160.084356 30.181421 249.585234
172.535445 41.294202 232.916936
180.611746 84.631161 210.618261
195.549584 72.185572 4.718530
175.546320 59.407005 22.372934
192.442510 83.971545 233.914783
161.056230 65.682384 18.812247
194.372750 72.450966 3.826364
194.213034 64.374732 8.246505
202.001940 52.165222 10.392490
216.089503 60.799520 34.243556
196.900741 75.261999 38.477703
211.944482 75.508778 255.122788
202.425265 78.148341 236.835335
193.234253 37.368727 248.989672
194.199130 37.568338 13.664584
46.587725 64.300388 245.747900
203.220373 111.812914 254.136255
218.165134 93.470022 255.655907
37.604853 85.649834 3.560212
75.809197 80.627273 254.156933
2.227504 71.548535 27.220148
3.211144 64.845764 46.080192
18.647737 67.710715 227.055681
38.939088 80.836575 205.687254
20.670234 115.843020 254.960429
14.282479 122.999797 7.638050
19.002320 98.630285 15.570643
235.644177 82.744547 27.763661
249.451158 56.123838 41.832496
238.777687 53.327390 27.402730
2.760594 143.099014 231.554408
42.112874 61.015738 21.600459
49.498660 74.178048 247.367008
72.669617 64.076262 6.298781
79.890731 66.709468 10.039017
63.281229 67.042320 7.609278
59.755896 70.036330 251.319096
69.824913 63.870649 14.478989
84.466128 91.306213 2.263190
59.191359 86.437816 6.089328
93.165792 92.478891 15.290464
55.132525 73.635333 32.009686
57.928109 100.801791 27.296159
120.499772 105.506532 253.085502
104.127749 89.100689 227.498191
100.525736 102.223735 16.808655
93.347761 90.885120 227.059026
113.829895 47.231254 11.791619
123.178452 71.351491 22.431252
116.200084 100.686447 246.988993
128.863517 120.386816 246.671679
114.631135 68.845786 254.270538
154.533347 63.653469 241.775952
147.311551 116.044272 29.937119
142.947111 96.314714 12.881840
159.027694 95.580080 237.689782
138.763378 75.650452 252.783438
164.189331 54.104613 253.179763
174.959148 66.906973 246.604220
180.641144 57.084292 25.903129
127.098109 113.962132 242.085243
127.672007 116.563995 0.438655
197.305314 51.911859 205.948835
181.209302 88.519229 193.566305
163.739400 102.501778 255.290381
197.928215 111.071763 238.562087
184.128295 71.209089 233.882371
198.809459 57.114635 231.609673
239.884794 31.171137 242.979242
223.450904 38.459658 13.322459
210.215808 64.857770 246.362679
209.751121 89.354873 31.769855
199.366134 70.015555 36.783452
235.908162 96.213888 27.573871
243.152173 104.094667 25.478237
224.569970 117.959994 12.146487
239.043673 101.490517 7.119638
32.202741 73.859241 244.625896
33.627708 80.802497 228.288543
237.413404 110.640500 10.903292
37.133480 103.516612 29.392179
36.124119 68.693945 21.171112
237.739970 121.523249 10.382016
238.103949 114.024308 37.101496
28.701156 82.561349 12.882125
37.615270 73.503845 14.666915
27.181442 103.587904 9.344388
41.536065 116.864807 244.754593
251.503794 89.042132 247.046783
238.230038 91.359226 254.611937
32.556255 82.770867 239.031467
29.143987 76.919641 8.675198
95.858015 89.130394 216.468140
96.031770 79.459185 232.128591
37.224998 117.914132 202.538745
54.114698 97.100280 203.242635
51.695765 87.946857 222.079590
50.253769 92.972492 24.177691
50.443713 121.456756 13.543209
115.868109 54.669429 7.740957
124.155951 87.992394 16.065470
111.705853 80.822236 237.293198
89.984215 101.541895 240.464883
119.672808 55.389014 24.014435
128.081472 102.408151 14.198364
128.813390 77.664828 0.615922
136.937210 108.849255 25.219453
132.014264 109.306012 28.516037
146.874646 110.487603 238.988756
146.576635 101.645351 245.907562
