ID X Y Z
469 45.605515 64.702233 88.875331
470 45.629791 64.968890 99.758566
471 44.668678 74.874207 99.453543
472 44.709813 74.417800 10.767905
473 45.151705 75.424996 21.695268
474 44.641615 75.159912 33.086948
475 44.728147 75.092042 44.801108
476 44.954257 74.307163 55.920105
477 44.352144 74.941514 67.264864
478 45.241974 74.669297 77.366682
479 45.605515 74.702234 88.875331
480 45.629791 74.968891 99.758566
481 44.668678 84.874206 99.453543
482 44.709813 84.417799 10.767905
483 45.151705 85.424996 21.695268
484 44.641615 85.159912 33.086948
485 44.728147 85.092042 44.801108
486 44.954257 84.307163 55.920105
487 44.352144 84.941514 67.264864
488 45.241974 84.669297 77.366682
489 45.605515 84.702234 88.875330
490 45.629791 84.968890 99.758566
491 44.668678 94.874206 99.453543
492 44.709813 94.417798 10.767905
493 45.151704 95.424995 21.695268
494 44.641615 95.159911 33.086947
495 44.728147 95.092041 44.801108
496 44.954256 94.307162 55.920105
497 44.352144 94.941513 67.264864
498 45.241974 94.669296 77.366682
499 45.605515 94.702233 88.875330
500 45.629791 94.968889 99.758566
501 54.668679 4.874205 99.453542
502 54.709814 4.417797 10.767905
503 55.151705 5.424994 21.695268
504 54.641616 5.159910 33.086947
505 54.728147 5.092040 44.801108
506 54.954257 4.307160 55.920105
507 54.352146 4.941512 67.264864
508 55.241975 4.669295 77.366682
509 55.605516 4.702232 88.875330
510 55.629792 4.968888 99.758566
511 54.668679 14.874204 99.453542
512 54.709814 14.417796 10.767905
513 55.151705 15.424993 21.695268
514 54.641617 15.159909 33.086947
515 54.728147 15.092039 44.801108
516 54.954257 14.307160 55.920105
517 54.352146 14.941511 67.264864
518 55.241975 14.669294 77.366682
519 55.605517 14.702231 88.875330
520 55.629792 14.968887 99.758566
521 54.668679 24.874203 99.453542
522 54.709814 24.417796 10.767905
523 55.151705 25.424993 21.695268
524 54.641617 25.159908 33.086948
525 54.728146 25.092038 44.801108
526 54.954257 24.307159 55.920105
527 54.352146 24.941511 67.264864
528 55.241975 24.669294 77.366682
529 55.605517 24.702230 88.875331
530 55.629792 24.968886 99.758566
531 54.668679 34.874204 99.453542
532 54.709814 34.417796 10.767905
533 55.151705 35.424993 21.695268
534 54.641617 35.159908 33.086948
535 54.728146 35.092038 44.801108
536 54.954258 34.307159 55.920105
537 54.352145 34.941511 67.264864
538 55.241975 34.669294 77.366682
539 55.605517 34.702230 88.875331
540 55.629793 34.968887 99.758566
541 54.668679 44.874204 99.453542
542 54.709814 44.417797 10.767905
543 55.151706 45.424994 21.695268
544 54.641617 45.159909 33.086948
545 54.728147 45.092039 44.801108
546 54.954258 44.307160 55.920105
547 54.352145 44.941512 67.264864
548 55.241975 44.669295 77.366682
549 55.605517 44.702231 88.875331
550 55.629792 44.968888 99.758566
551 54.668679 54.874205 99.453543
552 54.709814 54.417798 10.767905
553 55.151706 55.424995 21.695268
554 54.641616 55.159910 33.086948
555 54.728147 55.092041 44.801108
556 54.954258 54.307161 55.920105
557 54.352145 54.941513 67.264864
558 55.241975 54.669296 77.366682
559 55.605516 54.702232 88.875331
560 55.629792 54.968889 99.758566
561 54.668679 64.874206 99.453543
562 54.709814 64.417799 10.767905
563 55.151706 65.424996 21.695268
564 54.641616 65.159911 33.086948
565 54.728147 65.092041 44.801108
566 54.954258 64.307162 55.920105
567 54.352145 64.941513 67.264864
568 55.241975 64.669297 77.366682
569 55.605516 64.702233 88.875331
570 55.629792 64.968890 99.758566
571 54.668679 74.874207 99.453543
572 54.709814 74.417799 10.767905
573 55.151706 75.424996 21.695268
574 54.641616 75.159912 33.086948
575 54.728148 75.092042 44.801108
576 54.954258 74.307163 55.920105
577 54.352145 74.941514 67.264864
578 55.241975 74.669297 77.366682
579 55.605516 74.702233 88.875331
